transaction_id,product_id,product_name,product_category,product_price,quantity_purchased,user_id,user_gender,user_age,user_country,purchase_amount,transaction_date,payment_method,shipment_method,shipment_duration
12801355,83113,target global experiences,Books,206.8,4,78245,Male,23,Netherlands,181.5,1590875511.0,PayPal,In-store Pickup,4
23354054,91299,expedite innovative schemas,Home & Kitchen,398.2,3,96335,Male,61,Bulgaria,368.5,1688780248.0,PayPal,Standard Delivery,3
85893964,84225,facilitate distributed initiatives,Electronics,902.0,3,46915,Female,31,South Africa,708.4,1676650268.0,Cash On Delivery,Express Delivery,5
55089292,86577,whiteboard proactive portals,Toys & Games,528.0,3,60450,Female,22,Guyana,457.6,1680243220.0,Cash On Delivery,Standard Delivery,6
25590358,9469,benchmark ubiquitous interfaces,Books,836.0,1,95967,Male,57,Mauritania,594.0,1596461259.0,Debit Card,Same-day Delivery,3
86448765,28150,drive strategic infrastructures,Health & Personal Care,547.8,2,18570,Female,52,Austria,658.9,1581736726.0,Debit Card,Standard Delivery,7
47638039,25406,innovate next-generation platforms,Electronics,960.3,3,49914,Female,49,Algeria,411.4,1653371893.0,Credit Card,Standard Delivery,7
43633891,212,architect revolutionary ROI,Fashion,215.6,3,68389,Female,66,Chile,372.9,1580260259.0,Credit Card,In-store Pickup,5
10609597,7789,architect plug-and-play vortals,Books,387.2,3,89990,Male,62,Cambodia,432.3,1690908174.0,Cash On Delivery,Same-day Delivery,1
10587494,49427,engineer enterprise applications,Toys & Games,794.2,4,39240,Female,21,Lebanon,834.9,1658897997.0,Gift Card,Standard Delivery,1
83928703,35173,scale 24/365 infrastructures,Health & Personal Care,240.9,2,89506,Male,42,Luxembourg,393.8,1609743573.0,Cash On Delivery,Express Delivery,4
42254580,18192,strategize open-source bandwidth,Electronics,723.8,5,44778,Male,46,Benin,771.1,1620753970.0,Cash On Delivery,Same-day Delivery,5
26298547,41372,matrix distributed relationships,Tools & Home Improvement,859.1,5,69287,Female,75,United States of America,730.4,1629138134.0,Credit Card,Express Delivery,3
86963387,30727,drive sticky action-items,Electronics,287.1,1,69996,Male,34,Solomon Islands,121.0,1675516012.0,Cash On Delivery,Standard Delivery,1
16414914,75098,innovate rich e-markets,Electronics,113.3,1,97533,Male,54,Greenland,1091.2,1647515008.0,Credit Card,Same-day Delivery,2
88275788,45617,productize world-class ROI,Fashion,776.6,3,3717,Male,69,Libyan Arab Jamahiriya,168.3,1627320749.0,PayPal,In-store Pickup,6
32500160,75216,e-enable holistic platforms,Health & Personal Care,701.8,3,45781,Female,29,United Arab Emirates,284.9,1649577335.0,Gift Card,Express Delivery,2
40301816,98951,deploy plug-and-play e-services,Toys & Games,975.7,5,50570,Female,76,Belize,165.0,1683424804.0,Gift Card,Same-day Delivery,4
72563324,90212,grow impactful content,Electronics,352.0,3,78834,Female,38,Croatia,297.0,1647975686.0,Credit Card,In-store Pickup,7
11187460,62081,enable intuitive models,Books,610.5,3,33890,Female,85,Gibraltar,572.0,1668897584.0,Cash On Delivery,In-store Pickup,5
38844581,18353,benchmark scalable info-mediaries,Tools & Home Improvement,377.3,4,17550,Female,27,Mongolia,355.3,1691753415.0,PayPal,Standard Delivery,1
88393311,91602,architect cross-platform experiences,Tools & Home Improvement,154.0,1,5728,Female,80,El Salvador,816.2,1655328380.0,Debit Card,In-store Pickup,6
31315596,77335,expedite real-time channels,Electronics,178.2,4,2697,Male,36,Mongolia,608.3,1651757447.0,PayPal,Same-day Delivery,1
25330262,15411,productize plug-and-play architectures,Books,518.1,5,58514,Male,43,United Arab Emirates,589.6,1611482607.0,Credit Card,In-store Pickup,7
85310585,92174,architect interactive schemas,Health & Personal Care,641.3,3,85613,Female,89,Madagascar,1040.6,1641387539.0,Debit Card,Standard Delivery,6
86860363,54251,drive global content,Fashion,719.4,1,59199,Male,89,Bolivia,500.5,1639251354.0,Cash On Delivery,Same-day Delivery,3
32501916,12414,redefine transparent architectures,Electronics,1039.5,1,55191,Male,66,Lebanon,297.0,1674277181.0,Credit Card,Standard Delivery,5
46898526,60529,transition integrated content,Home & Kitchen,969.1,3,70788,Female,87,Korea,762.3,1592930428.0,Credit Card,In-store Pickup,7
60880721,13291,monetize granular eyeballs,Electronics,885.5,1,5321,Male,56,Equatorial Guinea,462.0,1667394423.0,Credit Card,Standard Delivery,7
51201207,98266,incentivize innovative users,Tools & Home Improvement,632.5,5,53784,Female,79,Greece,762.3,1629585429.0,Credit Card,Express Delivery,1
67214981,42032,scale B2B functionalities,Tools & Home Improvement,661.1,4,34185,Female,41,South Africa,511.5,1661120223.0,Gift Card,Standard Delivery,2
97506985,85285,architect viral partnerships,Electronics,290.4,4,24290,Female,35,Saudi Arabia,542.3,1608895908.0,Credit Card,In-store Pickup,1
11504550,77488,redefine cross-media convergence,Fashion,1036.2,4,27633,Male,65,French Polynesia,1079.1,1594342263.0,Credit Card,In-store Pickup,1
11330623,37549,matrix scalable markets,Toys & Games,336.6,1,29689,Male,30,Hungary,124.3,1677086910.0,PayPal,Same-day Delivery,3
18657021,86319,matrix next-generation info-mediaries,Toys & Games,330.0,3,3819,Female,39,Dominican Republic,999.9,1596107065.0,Debit Card,In-store Pickup,3
52140958,9249,embrace plug-and-play eyeballs,Books,913.0,3,44610,Male,64,Bahamas,1052.7,1673963999.0,Debit Card,Express Delivery,4
96250236,72401,target one-to-one models,Tools & Home Improvement,543.4,2,61511,Female,27,Dominican Republic,522.5,1681569358.0,PayPal,Standard Delivery,6
39839976,75210,mesh visionary e-commerce,Books,536.8,1,43961,Female,83,Germany,734.8,1637551008.0,PayPal,Same-day Delivery,4
60943327,61479,incentivize killer e-commerce,Home & Kitchen,700.7,3,46714,Female,30,Barbados,889.9,1639691854.0,PayPal,Same-day Delivery,3
25622820,79100,reinvent e-business architectures,Fashion,421.3,5,59584,Male,63,South Africa,645.7,1596381580.0,Credit Card,Same-day Delivery,3
40311263,32074,e-enable real-time ROI,Electronics,678.7,1,40066,Male,36,Slovenia,878.9,1681053586.0,Debit Card,Same-day Delivery,7
31335867,69032,reinvent efficient e-business,Toys & Games,273.9,1,76236,Female,22,Kazakhstan,1060.4,1596535549.0,Gift Card,Express Delivery,1
40791831,99435,e-enable world-class methodologies,Home & Kitchen,1019.7,1,92863,Male,21,Sao Tome and Principe,771.1,1688442526.0,PayPal,Express Delivery,3
10705645,80779,strategize seamless metrics,Electronics,1070.3,3,6834,Female,30,Japan,840.4,1649263805.0,Debit Card,In-store Pickup,5
62992570,43156,drive back-end portals,Fashion,612.7,1,54870,Male,77,Christmas Island,822.8,1578989365.0,Debit Card,In-store Pickup,6
57967075,41386,implement impactful experiences,Tools & Home Improvement,367.4,3,93400,Male,73,Togo,790.9,1692094248.0,Credit Card,Same-day Delivery,2
88159910,81298,re-intermediate cross-platform e-markets,Tools & Home Improvement,504.9,1,34024,Female,23,Timor-Leste,608.3,1633047185.0,Gift Card,In-store Pickup,2
69987145,76081,engineer frictionless functionalities,Home & Kitchen,941.6,2,30844,Female,86,Burkina Faso,1064.8,1597872587.0,Gift Card,In-store Pickup,5
71406265,4510,scale visionary technologies,Toys & Games,353.1,1,64963,Female,90,Peru,750.2,1616382519.0,Credit Card,In-store Pickup,7
59655130,92554,monetize dynamic e-markets,Tools & Home Improvement,727.1,1,78562,Female,54,Swaziland,980.1,1627823628.0,Cash On Delivery,Standard Delivery,3
88056027,91284,unleash one-to-one info-mediaries,Home & Kitchen,1007.6,3,48703,Female,60,Samoa,775.5,1589327154.0,Cash On Delivery,In-store Pickup,4
51872545,6617,reinvent leading-edge e-commerce,Home & Kitchen,435.6,2,82834,Female,87,San Marino,393.8,1605643700.0,Debit Card,Standard Delivery,7
84691237,37668,generate dynamic networks,Health & Personal Care,1037.3,4,86619,Female,40,Liechtenstein,888.8,1624935980.0,Cash On Delivery,Express Delivery,7
57984066,46839,generate turn-key initiatives,Home & Kitchen,203.5,5,80060,Male,53,Afghanistan,444.4,1637524843.0,Debit Card,Express Delivery,4
18606536,3049,facilitate user-centric bandwidth,Health & Personal Care,319.0,4,40627,Female,72,Bangladesh,695.2,1655980093.0,Debit Card,Express Delivery,1
36993016,4354,cultivate end-to-end users,Tools & Home Improvement,902.0,5,8764,Female,82,Taiwan,925.1,1585716681.0,Cash On Delivery,Standard Delivery,5
47374202,51768,mesh interactive initiatives,Fashion,887.7,5,79220,Male,63,Tokelau,133.1,1672699537.0,Gift Card,In-store Pickup,1
32543815,83238,generate visionary synergies,Toys & Games,743.6,4,52092,Male,40,Maldives,1012.0,1690169368.0,Cash On Delivery,Same-day Delivery,7
16557281,49664,maximize one-to-one bandwidth,Electronics,971.3,1,15901,Male,69,Niger,243.1,1595284514.0,Credit Card,Same-day Delivery,5
33609772,76076,orchestrate revolutionary interfaces,Toys & Games,355.3,3,40314,Male,37,Venezuela,570.9,1641645507.0,Cash On Delivery,Express Delivery,6
74425256,68074,monetize sexy vortals,Fashion,809.6,4,65233,Female,44,Macao,631.4,1602446853.0,Gift Card,In-store Pickup,5
53496676,62319,re-intermediate global functionalities,Electronics,1047.2,2,39466,Female,88,Comoros,377.3,1638121509.0,Debit Card,Standard Delivery,6
74316599,70125,brand real-time deliverables,Books,226.6,5,12796,Male,18,Lesotho,830.5,1617536660.0,Gift Card,Express Delivery,5
70317127,34031,facilitate web-enabled platforms,Health & Personal Care,655.6,4,56285,Female,77,Libyan Arab Jamahiriya,941.6,1656715805.0,Cash On Delivery,Standard Delivery,4
83363198,12127,deploy visionary paradigms,Home & Kitchen,457.6,5,7106,Female,23,Congo,137.5,1668900084.0,Debit Card,Same-day Delivery,5
53215197,43300,exploit extensible supply-chains,Fashion,993.3,2,29696,Female,60,Austria,338.8,1618341834.0,Debit Card,Standard Delivery,4
67085278,26628,iterate front-end deliverables,Toys & Games,746.9,4,96049,Male,60,Yemen,522.5,1610884939.0,Gift Card,In-store Pickup,3
22290107,79061,repurpose bleeding-edge paradigms,Home & Kitchen,448.8,1,55126,Male,81,Egypt,629.2,1674149990.0,Debit Card,In-store Pickup,2
38262127,88165,streamline sexy portals,Health & Personal Care,112.2,1,6991,Female,72,British Virgin Islands,150.7,1618909463.0,Cash On Delivery,Standard Delivery,1
93616596,36784,architect virtual supply-chains,Books,611.6,4,39330,Female,27,Namibia,503.8,1687977992.0,PayPal,Same-day Delivery,2
79334972,44185,deliver vertical markets,Fashion,405.9,5,78035,Male,25,Gambia,988.9,1667571265.0,Cash On Delivery,In-store Pickup,1
75086746,5061,scale virtual portals,Electronics,114.4,1,50977,Female,69,Portugal,403.7,1673541814.0,PayPal,Express Delivery,7
25343756,93156,re-intermediate web-enabled bandwidth,Books,410.3,4,27750,Male,86,Burkina Faso,973.5,1657093931.0,Debit Card,Same-day Delivery,1
67410437,86211,iterate back-end solutions,Toys & Games,652.3,1,32905,Male,29,Cuba,354.2,1686540605.0,Credit Card,In-store Pickup,6
50318653,37043,visualize global technologies,Health & Personal Care,424.6,4,13760,Female,58,Luxembourg,903.1,1665889586.0,Cash On Delivery,Same-day Delivery,3
86239691,65216,empower extensible e-tailers,Fashion,651.2,5,29408,Female,86,French Polynesia,727.1,1635391062.0,PayPal,In-store Pickup,7
